,BTC,ETH
29026113,8013854000,200422700
29026114,8008984000,200033300
29026115,8012074000,200068200
29026116,8023794000,200498200
29026117,8015184000,200572100
29026118,8011944000,200546400
29026119,8016314000,200966700
29026120,8029284000,201239400
29026121,8035644000,201510400
29026122,8060794000,202227600
29026123,8078984000,202623000
29026124,8075316000,202872000
29026125,8089774000,203161700
29026126,8081534000,203092100
29026127,8094914000,203146300
29026128,8094144000,203017300
29026129,8103224000,203513800
29026130,8113454000,203845100
29026131,8105504000,203551400
29026132,8121863000,203909300
29026133,8137224000,204145000
29026134,8124359000,203781700
29026135,8123434000,203716700
29026136,8120434000,203757900
29026137,8124514000,203923100
29026138,8127564000,203911400
29026139,8123184000,203759400
29026140,8124594000,203694600
29026141,8143665000,204307200
29026142,8160774000,204694500
29026143,8172444000,205026200
29026144,8178874000,205236100
29026145,8152884000,204756200
29026146,8161164000,204556800
29026147,8165794000,204847200
29026148,8160714000,204796600
29026149,8153324000,204469500
29026150,8134024000,204088900
29026151,8141294000,204453900
29026152,8128354000,204146100
29026153,8116854000,203891100
29026154,8122094000,204039700
29026155,8097844000,203556200
29026156,8084665000,203095300
29026157,8087464000,203268400
29026158,8093404000,203425900
29026159,8097244000,203499000
29026160,8099274000,203430500
29026161,8100814000,203466900
29026162,8096354000,203248500
29026163,8107234000,203570200
29026164,8120954000,204032300
29026165,8113064000,203827000
29026166,8113264000,203856400
29026167,8118614000,203958500
29026168,8128194000,204213500
29026169,8124254000,204102700
29026170,8134974000,204227600
29026171,8147444000,204466900
29026172,8157394000,204743100
29026173,8159594000,204862600
29026174,8148984000,204718200
29026175,8138984000,204514700
29026176,8132384000,204255000
29026177,8134624000,204232300
29026178,8150224000,204534300
29026179,8143524000,204311100
29026180,8148454000,204639700
29026181,8165854000,205037300
29026182,8165463000,204831700
29026183,8157974000,204627900
29026184,8163174000,204678400
29026185,8150934000,204363000
29026186,8158304000,204430400
29026187,8161714000,204480900
29026188,8168964000,204595100
29026189,8168494000,204710600
29026190,8164074000,204552700
29026191,8171224000,204654600
29026192,8176194000,204775000
29026193,8174464000,204863700
29026194,8171104000,204766800
29026195,8161584000,204641900
29026196,8161254000,204433200
29026197,8172704000,204564800
29026198,8171194000,204428700
29026199,8170514000,204426100
29026200,8176684000,204664600
29026201,8180594000,204736400
29026202,8181894000,204746800
29026203,8175404000,204537300
29026204,8155094000,204197500
29026205,8147554000,203951200
29026206,8158974000,204135600
29026207,8171504000,204479400
29026208,8167794000,204455100
29026209,8175584000,204696200
29026210,8180974000,204798300
29026211,8182811000,204919700
29026212,8174534000,204642900
29026213,8180814000,204803900
29026214,8188184000,204973300
29026215,8197634000,205106500
29026216,8222454000,205772700
29026217,8237134000,206213500
29026218,8235094000,206226000
29026219,8221134000,206022000
29026220,8227884000,206132700
29026221,8224134000,206067900
29026222,8231384000,206300800
29026223,8226394000,205942600
29026224,8219444000,205864800
29026225,8204474000,205543000
29026226,8210434000,205571100
29026227,8219954000,205737100
29026228,8207924000,205495000
29026229,8208774000,205478000
29026230,8209384000,205215900
29026231,8223144000,205417200
29026232,8227774000,205667800
29026233,8233739000,205666900
29026234,8247242000,205952300
29026235,8253934000,206408900
29026236,8252594000,206176900
29026237,8254244000,206348100
29026238,8255004000,206662000
29026239,8250434000,206561100
29026240,8250734000,206777800
29026241,8251814000,206736000
29026242,8256624000,206542000
29026243,8240374000,206398500
29026244,8236624000,206224500
29026245,8246124000,206530100
29026246,8239704000,206391900
29026247,8241744000,206490600
29026248,8235574000,206324500
29026249,8238974000,206351800
29026250,8227864000,206046300
29026251,8221114000,205842300
29026252,8222094000,205988300
29026253,8221484000,206042700
29026254,8226904000,206124800
29026255,8222964000,206171100
29026256,8214534000,205871300
29026257,8210654000,205806900
29026258,8211794000,205858600
29026259,8214914000,205897300
29026260,8212974000,205910000
29026261,8219411000,205974300
29026262,8214394000,205646200
29026263,8226534000,205958100
29026264,8218744000,205766300
29026265,8216074000,205657000
29026266,8205834000,205466000
29026267,8200004000,205350100
29026268,8194784000,205276900
29026269,8202804000,205324500
29026270,8203444000,205421900
29026271,8196254000,205340900
29026272,8187864000,205165200
29026273,8189384000,205131600
29026274,8185864000,205021000
29026275,8189454000,205127200
29026276,8190174000,205069800
29026277,8198974000,205276100
29026278,8193974000,205053700
29026279,8196174000,205052300
29026280,8193234000,204990200
29026281,8191444000,204865100
29026282,8183694000,204747300
29026283,8183374000,204863400
29026284,8185894000,204836800
29026285,8175914000,204721000
29026286,8176414000,204731400
29026287,8176894000,204718700
29026288,8177484000,204919700
29026289,8177254000,204867200
29026290,8186164000,204964200
29026291,8189544000,205132300
29026292,8195284000,205142300
29026293,8196494000,205121800
29026294,8196324000,205247300
29026295,8204404000,205454900
29026296,8197664000,205317400
29026297,8196984000,205345700
29026298,8212974000,205700500
29026299,8216984000,205820000
29026300,8215634000,205823200
29026301,8220304000,205968300
29026302,8222524000,206144100
29026303,8214154000,206090300
29026304,8218234000,206271100
29026305,8224034000,206457500
29026306,8224934000,206594700
29026307,8221714000,206492700
29026308,8218974000,206289600
29026309,8227024000,206599900
29026310,8221714000,206432200
29026311,8213974000,206230800
29026312,8205814000,205958200
29026313,8205584000,206120700
29026314,8211634000,206352100
29026315,8211674000,206406800
29026316,8202674000,206162200
29026317,8203294000,206084300
29026318,8197364000,205913900
29026319,8198984000,205918700
29026320,8199404000,205919500
29026321,8200984000,205945500
29026322,8212414000,206289000
29026323,8210044000,206259600
29026324,8221074000,206540700
29026325,8223494000,206717500
29026326,8231414000,207074200
29026327,8233074000,206923000
29026328,8233004000,206957900
29026329,8227064000,206917500
29026330,8235744000,207291600
29026331,8226424000,207227900
29026332,8223154000,207066700
29026333,8224614000,206993800
29026334,8225244000,207029500
29026335,8222734000,206920800
29026336,8223754000,206870500
29026337,8232254000,207142100
